Position,First,Last,NFL Team,PFL Team,Draft Round,Keeper Eligible,How Many Years
WR,Josh,Brown,Arizona,Jamie,9th,Yes,1
RB,Chris,Ivory,NY Jets,Jamie,Undrafted,Yes,2
TE,Vernon,Davis,Denver,Jamie,10th,Yes,1
QB,Jay,Cutler,Chicago,Jamie,Undrafted,Yes,2
QB,Ben,Roethliesberger,Pittsburgh,Jill,6th,Yes,2
RB,Darren,McFadden,Oakland,Jill,Undrafted,Yes,2
WR,Randall,Cobb,Green Bay,Jill,1st,No,0
WR,Eric,Decker,NY Jets,Jill,4th ,Yes,2
WR,Brandin,Cooks,New Orleans,Jill,5th,Yes,1
TE,Greg,Olsen,Carolina,Jill,2nd,Yes,2
D/ST,St. Louis,Rams,St. Louis,Jill,10th,Yes,2
RB,C.J. ,Anderson,Denver,Jill,8th,Yes,1
RB,Ronnie,Hillman,Denver,Jill,9th,Yes,2
WR,Emmanuel,Sanders,Denver,Jill,4th,No,0
WR,Kamar,Aiken,Baltimore,Jill,Undrafted,Yes,2
WR,Danny,Amendola,New Enland,Jill,8th,Yes,1
RB,Shaun ,Draughn,San Francisco,Jill,Undrafted,Yes,2
QB,Matthew ,Stafford,Detroit,Jerry,9th,Yes,2
RB,Devonta,Freeman,Atlanta,Jerry,Undrafted,Yes,2
WR,Allen,Robinson,Jacksonville,Jerry,7th,Yes,2
WR,Antonio,Brown,Pittsburgh,Jerry,1st,No,0
WR,Amari,Cooper,Oakland,Jerry,2nd,Yes,2
TE,Antonio,Gates,San Diego,Jerry,6th,Yes,2
D/ST,Seattle,Seahawks,Seattle,Jerry,8th,Yes,2
RB,Duke,Johnson,Cleveland,Jerry,Undrafted,Yes,2
TE,Martellus,Bennett,Chicago,Jerry,Undrafted,Yes,2
QB,Blake ,Bortles,Jacksonville,Jerry,11th,Yes,2
RB,Spencer,Ware,Kansas City,Jerry,Undrafted,Yes,2
TE,Crockett,Gillmore,Baltimore,Jerry,Undrafted,Yes,2
WR,Kendall,Wright,Tennessee,Jerry,6th,Yes,1
